CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
1183;UCAC4 231-028408;;08 28 37.555;-43 51 04.15;Vel;EA;12.453;10.391;0.402;0.5;V;2452541.875;2.581445;MM;2016;http://var2.astro.cz/czev.php?id=1183
1184;UCAC4 232-025408;;08 16 40.376;-43 43 04.07;Vel;EA;13.255;12.012;0.253;0.6;V;2451967.392;1.635683;MM;2016;http://var2.astro.cz/czev.php?id=1184
1185;UCAC4 234-026561;;08 16 12.766;-43 23 58.28;Vel;EA;11.634;10.984;0.178;0.67;V;2451887.078;2.360606;MM;2016;http://var2.astro.cz/czev.php?id=1185
1186;UCAC4 240-025273;;08 15 16.539;-42 03 13.66;Pup;EW;13.605;11.94;0.427;0.25;V;;0.491178;MM;2016;http://var2.astro.cz/czev.php?id=1186
1187;UCAC4 212-011874;;07 14 09.556;-47 37 08.44;Pup;HADS;13.792;12.872;0.131;0.5;V;2457770.735;0.10663;MM;2017;http://var2.astro.cz/czev.php?id=1187
1188;UCAC4 173-071017;;11 34 15.231;-55 25 32.34;Cen;EW;13.372;12.021;0.529;0.7;V;2451886.063;0.288767;MM;2017;http://var2.astro.cz/czev.php?id=1188
1189;UCAC4 774-053752;;22 56 27.004;+64 42 38.13;Cep;EW;12.123;10.981;0.369;0.21;V;2457241.43;0.404227;MM;2015;http://var2.astro.cz/czev.php?id=1189
1190;UCAC4 773-056909;;22 42 45.761;+64 32 02.51;Cep;EA;;12.012;0.387;0.73;V;2457008.51;2.531757;MM;2015;http://var2.astro.cz/czev.php?id=1190
1191;UCAC4 243-003702;;03 40 01.087;-41 31 30.17;Eri;EW;13.817;11.926;0.618;0.26;V;2456826.815;0.341588;MM;2016;http://var2.astro.cz/czev.php?id=1191
1192;UCAC4 293-061487;;10 10 44.825;-31 25 11.43;Ant;EW;14.061;13.069;0.414;0.2;C;2454105.19;0.520882;MM;2017;http://var2.astro.cz/czev.php?id=1192
1193;UCAC4 294-060644;;10 08 58.363;-31 13 15.38;Ant;EW;13.296;11.433;0.652;0.11;C;2454484.53;0.231922;MM;2017;http://var2.astro.cz/czev.php?id=1193
1194;UCAC4 297-062621;;10 18 08.974;-30 46 28.49;Ant;EW;13.998;12.607;0.357;0.2;V;2457769.711;0.3333;MM;2017;http://var2.astro.cz/czev.php?id=1194
1195;UCAC4 297-063023;;10 23 21.805;-30 39 09.79;Ant;EW;14.039;13.094;0.4;0.45;V;2457759.769;;MM;2017;http://var2.astro.cz/czev.php?id=1195
1196;UCAC4 298-064492;;10 20 53.469;-30 26 48.14;Ant;EB;13.849;13.28;0.182;0.24;C;2454144.605;0.645706;MM;2017;http://var2.astro.cz/czev.php?id=1196
1197;UCAC4 300-063188;;10 14 48.989;-30 03 33.13;Ant;EB;13.943;12.901;0.265;0.23;C;2454148.435;0.504298;MM;2017;http://var2.astro.cz/czev.php?id=1197
1198;UCAC4 302-060840;;10 09 04.762;-29 41 11.37;Ant;EW;13.627;11.865;0.593;0.09;C;2454474.495;0.39181;MM;2017;http://var2.astro.cz/czev.php?id=1198
1199;UCAC4 302-061802;;10 22 08.252;-29 40 37.94;Ant;RRAB;13.981;13.081;0.356;0.8;C;2453724.01;0.62766;MM;2017;http://var2.astro.cz/czev.php?id=1199
1200;UCAC4 307-061225;;10 15 16.996;-28 45 05.32;Ant;EW;14.556;12.636;0.616;0.26;C;2453695.34;0.40911;MM;2017;http://var2.astro.cz/czev.php?id=1200
1201;UCAC4 450-026268;;06 56 58.272;-00 06 45.88;Mon;;14.498;13.213;0.452;0.5;V;;0.288813;MM;2017;http://var2.astro.cz/czev.php?id=1201
1202;UCAC4 522-071944;;18 17 31.225;+14 18 34.78;Oph;EW;14.475;12.873;0.474;0.42;C;2457926.518;0.317;MM;2017;http://var2.astro.cz/czev.php?id=1202
1203;UCAC4 522-071847;;18 17 05.117;+14 18 17.80;Oph;EW:;14.251;13.12;0.251;0.33;C;;;MM;2017;http://var2.astro.cz/czev.php?id=1203
1204;UCAC4 523-075914;;18 20 27.473;+14 29 56.33;Oph;EA;;13.322;0.414;0.16;V;2457045.85;2.414458;MM;2017;http://var2.astro.cz/czev.php?id=1204
1205;UCAC4 521-073807;;18 19 39.301;+14 09 45.97;Oph;EA;14.543;13.311;0.414;1.05;V;2457046.39;2.927414;MM;2017;http://var2.astro.cz/czev.php?id=1205
1206;UCAC4 728-086713;;22 19 53.544;+55 31 22.92;Lac;EW;14.697;13.086;0.552;1;C;2457907.479;0.4183;MM, MT;2017;http://var2.astro.cz/czev.php?id=1206
1207;UCAC4 726-087157;;22 22 27.042;+55 01 11.06;Lac;EW;14.582;13.087;0.603;0.58;C;2457906.505;0.3494;MM, MT;2017;http://var2.astro.cz/czev.php?id=1207
1208;UCAC4 725-089381;;22 22 27.398;+54 50 10.09;Lac;DSCT;11.711;10.66;0.253;0.03;C;2457906.47;0.0712;MM, MT;2017;http://var2.astro.cz/czev.php?id=1208
1209;UCAC4 729-084034;;22 23 13.530;+55 40 07.50;Cep;EA;15.517;13.807;0.354;0.5;C;2457906.362;;MM, MT;2017;http://var2.astro.cz/czev.php?id=1209
1210;UCAC4 727-083716;;22 18 51.126;+55 23 20.8;Lac;DSCT;;11.741;0.341;0.14;C;2457907.424;0.1975;MM, MT;2017;http://var2.astro.cz/czev.php?id=1210
1211;UCAC4 726-086626;;22 20 42.794;+55 04 13.08;Lac;EW;14.519;13.191;0.368;0.47;C;2457919.486;0.6925;MM, MT;2017;http://var2.astro.cz/czev.php?id=1211
1212;UCAC4 727-085388;;22 23 59.438;+55 16 42.97;Lac;EW;13.145;11.95;0.324;0.22;C;2457906.486;0.81857;MM, MT;2017;http://var2.astro.cz/czev.php?id=1212
1213;UCAC4 727-085034;;22 22 56.382;+55 20 27.83;Lac;DSCT;11.55;10.604;0.263;0.03;C;2457918.492;0.06793;MM, MT;2017;http://var2.astro.cz/czev.php?id=1213
1214;UCAC4 726-086740;;22 21 05.968;+55 11 30.76;Lac;EW;15.316;13.636;0.453;0.67;C;2457923.397;0.4324;MM, MT;2017;http://var2.astro.cz/czev.php?id=1214
1215;UCAC4 726-087002;;22 21 52.261;+55 03 43.27;Lac;EB;15.734;13.285;0.585;0.6;C;2457905.78;1.0358;MM, MT;2017;http://var2.astro.cz/czev.php?id=1215
1216;UCAC4 726-087228;;22 22 42.565;+55 05 59.13;Lac;EW;13.925;12.807;0.189;0.22;C;2457907.453;0.55204;MM, MT;2017;http://var2.astro.cz/czev.php?id=1216
1217;UCAC4 725-089077;;22 21 29.244;+54 55 04.35;Lac;DSCT|RRc;13.717;11.534;0.741;0.12;C;2457919.47;0.2753;MM, MT;2017;http://var2.astro.cz/czev.php?id=1217
1218;UCAC4 729-082809;;22 19 25.917;+55 47 23.85;Cep;EW;14.885;13.464;0.491;0.3;C;2457918.465;0.3617;MM, MT;2017;http://var2.astro.cz/czev.php?id=1218
1219;UCAC4 725-089205;;22 21 55.603;+54 59 54.55;Lac;DSCT;13.229;11.89;0.34;0.08;C;2457919.406;0.211603;MM, MT;2017;http://var2.astro.cz/czev.php?id=1219
1220;UCAC4 727-084634;;22 21 36.245;+55 12 29.86;Lac;EW;13.674;12.121;0.383;0.11;C;2457906.428;0.3429;MM, MT;2017;http://var2.astro.cz/czev.php?id=1220
1221;UCAC4 730-084577;;22 21 42.630;+55 48 58.05;Cep;EB:;14.797;13.219;0.502;0.18;C;;;MM, MT;2017;http://var2.astro.cz/czev.php?id=1221
1222;UCAC4 725-089490;;22 22 44.711;+54 53 35.21;Lac;EW;14.942;13.629;0.373;0.16;C;2457906.31;0.6017;MM, MT;2017;http://var2.astro.cz/czev.php?id=1222
1223;UCAC4 728-086550;;22 19 30.008;+55 32 01.09;Lac;DSCT;15.127;13.684;0.398;0.1;C;2457906.463;0.1039;MM, MT;2017;http://var2.astro.cz/czev.php?id=1223
1224;UCAC4 727-085143;;22 23 18.254;+55 22 05.61;Lac;DSCT;13.92;12.614;0.281;0.09;C;2457906.468;0.23388;MM, MT;2017;http://var2.astro.cz/czev.php?id=1224
1225;UCAC4 726-087236;;22 22 43.798;+55 02 41.23;Lac;EA;13.225;12.057;0.266;0.45;C;2457919.451;;MM, MT;2017;http://var2.astro.cz/czev.php?id=1225
1226;UCAC4 726-085812;;22 18 41.011;+55 08 49.72;Lac;EB;16.213;14.125;0.511;0.93;C;;0.4686;MM, MT;2017;http://var2.astro.cz/czev.php?id=1226
1227;UCAC4 729-084250;;22 23 48.058;+55 42 26.34;Lac;EB;15.653;13.844;0.646;0.8;C;2457918.52;1.4061;MM, MT;2017;http://var2.astro.cz/czev.php?id=1227
1228;UCAC4 730-084421;;22 21 18.730;+55 48 54.81;Cep;EA;14.69;14.215;0.18;0.45;C;2457919.414;;MM, MT;2017;http://var2.astro.cz/czev.php?id=1228
