CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
1078;UCAC4 344-009781;;05 57 27.410;-21 15 36.98;Lep;EW;14.47;13.265;0.414;0.37;C;2457722.66;0.330698;MM;2016;http://var2.astro.cz/czev.php?id=1078
1079;UCAC4 351-019772;;06 56 55.497;-19 50 20.12;CMa;EA;12.43;11.561;0.426;0.75;V;2452546.26;1.28286;MM;2016;http://var2.astro.cz/czev.php?id=1079
1080;UCAC4 107-061954;;13 00 35.483;-68 36 24.97;Mus;EW;12.1;10.958;0.288;0.55;V;2457743.78;0.537804;MM;2016;http://var2.astro.cz/czev.php?id=1080
1081;UCAC4 109-061421;;12 54 47.393;-68 18 12.05;Mus;EW;13.13;11.554;0.464;0.4;V;2457743.69;0.477874;MM;2016;http://var2.astro.cz/czev.php?id=1081
1082;UCAC4 114-058349;;12 35 40.932;-67 19 54.60;Mus;EW;13.36;12.209;0.306;0.7;V;2451916.39;0.560915;MM;2016;http://var2.astro.cz/czev.php?id=1082
1083;UCAC4 586-030291;;06 27 33.781;+27 08 08.15;Gem;EW;14.73;12.956;0.537;;;;;LC;2016;http://var2.astro.cz/czev.php?id=1083
1084;UCAC4 588-031645;;06 30 39.294;+27 33 47.93;Gem;EW;13.73;12.48;0.363;0.4;C;;;LC;2016;http://var2.astro.cz/czev.php?id=1084
1085;UCAC4 589-031801;;06 30 34.508;+27 47 10.74;Gem;EW;13.54;11.622;0.575;0.3;C;;;LC;2016;http://var2.astro.cz/czev.php?id=1085
1086;UCAC4 588-031040;;06 27 42.499;+27 24 08.36;Gem;EW;11.85;10.974;0.271;0.2;C;;;LC;2016;http://var2.astro.cz/czev.php?id=1086
1087;UCAC4 586-030738;;06 29 38.969;+27 09 16.21;Gem;DSCT;11.8;10.899;0.218;;;;;LC;2016;http://var2.astro.cz/czev.php?id=1087
1088;UCAC4 684-116735;;22 16 23.993;+46 46 52.29;Lac;EA;15.61;14.438;0.342;0.5;C;;;FB;2016;http://var2.astro.cz/czev.php?id=1088
1089;UCAC4 504-141055;;21 50 56.606;+10 38 14.04;Peg;DSCT;15.34;13.609;0.436;0.09;Rc;2457643.8551;0.144697;MS;2016;http://var2.astro.cz/czev.php?id=1089
1090;UCAC4 530-125604;;20 07 59.602;+15 58 24.70;Aql;EW:;;16.065;0.779;0.5;V;2457608.8528;0.361506;MS;2016;http://var2.astro.cz/czev.php?id=1090
1091;UCAC4 716-106249;;22 58 51.778;+53 10 22.94;And;EA;11.4;10.738;0.182;0.418;C;2454340.657;0.601559;PP, FaB, MO, MP, JB;2017;http://var2.astro.cz/czev.php?id=1091
1092;UCAC4 671-015872;;03 02 14.661;+44 00 38.89;Per;E:;10.7;9.682;0.231;0.2;C;2454351.2282;1.055966;LC;2017;http://var2.astro.cz/czev.php?id=1092
